ComponentType,Manufacturer,Model,PartNumber,SerialNumber,TMS System Type Description,E.164 Alias,TMS System Name,MasterSerialNumber,System Type,Cart Type,Unique ID,Facility,MEDICAL CENTER,IFCAPPONumber,POC,IP Address,Visn
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00038,TANDBERG EX90,9503485,V09.MUR.TMH.BLDG9rm146b,A1AR45D00038,Desktop Video Conferencing System,Desktop Video Conferencing System,29075,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.77.91.68,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00039,TANDBERG EX90,9502294,V06.RIC.TMD.GI.PUTNAM,A1AR45D00039,Desktop Video Conferencing System,Desktop Video Conferencing System,29392,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.30,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00042,TANDBERG EX90,9503478,V09.MUR.TMH.BLDG9RM138,A1AR45D00042,Desktop Video Conferencing System,Desktop Video Conferencing System,8162,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.77.91.59,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00046,TANDBERG EX90,9501199,V04.CLA.CBOC.MON.RM114,A1AR45D00046,Desktop Video Conferencing System,Desktop Video Conferencing System,19902,540,LOUIS A JOHNSON VAMC,540-A20101,,10.33.100.2,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00047,TANDBERG EX90,9503487,V09.MUR.TMD.PMRS.BLDG6rmG16,A1AR45D00047,Desktop Video Conferencing System,Desktop Video Conferencing System,29072,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.77.93.14,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00050,TANDBERG EX90,9530077,V06.SAM.CBOC.WVL.SCAN.WRIGHT.RM138,A1AR45D00050,Desktop Video Conferencing System,Desktop Video Conferencing System,10661,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.229.20,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00052,TANDBERG EX90,9503486,V09.MUR.TMH.VRC.OPCrm16,A1AR45D00052,Desktop Video Conferencing System,Desktop Video Conferencing System,8300,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.90.35,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00053,TANDBERG EX90,9503494,V09.NAS.CAR.VAMCrmC260,A1AR45D00053,Desktop Video Conferencing System,Desktop Video Conferencing System,29340,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.78.93.10,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00063,TANDBERG EX90,9503480,V09.TVH.TMH.INTPLZ.C&Prm112,A1AR45D00063,Desktop Video Conferencing System,Desktop Video Conferencing System,8133,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.90.5,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00065,TANDBERG EX90,9536530,V09.MUR.TMH.BLDG9rm107,A1AR45D00065,Desktop Video Conferencing System,Desktop Video Conferencing System,7408,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.77.93.6,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00075,TANDBERG EX90,9503472,V09.TVH.TMH.HAR.CBOCrm134,A1AR45D00075,Desktop Video Conferencing System,Desktop Video Conferencing System,8097,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.91.129,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00088,TANDBERG EX90,9503535,V09.MOU.SUR.200.E107A.Surgery,A1AR45D00088,Desktop Video Conferencing System,Desktop Video Conferencing System,8375,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"McAllister E, Lynn",10.72.207.108,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00091,TANDBERG EX90,9536503,V09.TVH.TMH.ATHENS.OPCrm135,A1AR45D00091,Desktop Video Conferencing System,Desktop Video Conferencing System,10415,626,MURFREESBORO VA MED CENTER,626-A19186,"Franklin L, Emily",10.78.91.195,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00104,TANDBERG EX90,9546012,V04.CLA.TMH.Rm1275,A1AR45D00104,Desktop Video Conferencing System,Desktop Video Conferencing System,22837,540,LOUIS A JOHNSON VAMC,540-A20101,,10.33.99.27,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00124,TANDBERG EX90,9508112,V23.FAR.TMD.r1D25.PC,A1AR45D00124,Desktop Video Conferencing System,Desktop Video Conferencing System,7134,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.105.54.55,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00125,TANDBERG EX90,9516013,V21.MAC.TMD.OAKRM351,A1AR45D00125,Desktop Video Conferencing System,Desktop Video Conferencing System,29877,612,SACRAMENTO VAMC,612-A20037,,10.173.80.74,21
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00135,TANDBERG EX90,9516039,V21.MAC.TMH.RDG341RA15,A1AR45D00135,Desktop Video Conferencing System,Desktop Video Conferencing System,19604,612,SACRAMENTO VAMC,612-A20037,,10.173.229.154,21
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00136,TANDBERG EX90,9503536,V09.MOU.CBOC.KNOX.529.TCT,A1AR45D00136,Desktop Video Conferencing System,Desktop Video Conferencing System,7402,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Hardin W, John",10.72.160.175,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00137,TANDBERG EX90,9503540,V09.MOU.AUD.204.L042.Audiology,A1AR45D00137,Desktop Video Conferencing System,Desktop Video Conferencing System,8421,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Noe, Colleen",10.72.239.68,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00138,TANDBERG EX90,9516014,V21.MAC.TMD.CHICOBLDG254R2012,A1AR45D00138,Desktop Video Conferencing System,Desktop Video Conferencing System,13602,612,SACRAMENTO VAMC,612-A20037,,10.173.31.228,21
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00157,,,,A1AR45D00157,Desktop Video Conferencing System,Desktop Video Conferencing System,,540,LOUIS A JOHNSON VAMC,540-A20101,,,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00158,TANDBERG EX90,9524204,V16.BIL.OPC.PCWEST.r115.TMH,A1AR45D00158,Desktop Video Conferencing System,Desktop Video Conferencing System,11041,520,Biloxi VA Medical Center,586-A10964,,10.132.68.35,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00163,TANDBERG EX90,9530087,V06.SAM.DPT.SCAN.DBE.MORELAND,A1AR45D00163,Desktop Video Conferencing System,Desktop Video Conferencing System,13640,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.204.68,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00166,TANDBERG EX90,9530080,V06.SAM.DPT.SCAN.BAYNTON.77.111K,A1AR45D00166,Desktop Video Conferencing System,Desktop Video Conferencing System,10664,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.204.104,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00187,TANDBERG EX90,9530079,V06.SAM.DPT.SCAN.GLECK.75.151E,A1AR45D00187,Desktop Video Conferencing System,Desktop Video Conferencing System,10663,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.204.103,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00197,TANDBERG EX90,9528042,V23.SUX.Spirit.Lake.Nurse.Mgr.Rm.108,A1AR45D00197,Desktop Video Conferencing System,Desktop Video Conferencing System,16090,438,DEPARTMENT OF VETERAN AFFAIRS - SIOUX FALLS,618-A19537,,10.107.129.216,23
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00198,TANDBERG EX90,9503544,V09.MOU.GEC.200.C047.Hospice,A1AR45D00198,Desktop Video Conferencing System,Desktop Video Conferencing System,8383,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Sadler G, Charles",10.72.205.81,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00199,TANDBERG EX90,9502385,V06.RIC.CBOC.CHVL.CVT.RM138,A1AR45D00199,Desktop Video Conferencing System,Desktop Video Conferencing System,10754,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.77.14,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00239,TANDBERG EX90,9530091,V06.SAM.DPT.SCAN.GTH.143.2H130,A1AR45D00239,Desktop Video Conferencing System,Desktop Video Conferencing System,15787,658,Salem VA Medical Center (Virginia),658-A20099,,10.49.204.107,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00246,TANDBERG EX90,9516023,V21.MAC.TMD.SACWOMENSHEALTH,A1AR45D00246,Desktop Video Conferencing System,Desktop Video Conferencing System,15952,612,SACRAMENTO VAMC,612-A20037,"Alexander, Collier",10.173.31.20,21
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00252,TANDBERG EX90,9525003,V16.LIT.TMD.170.1K129.Wooten,A1AR45D00252,Desktop Video Conferencing System,Desktop Video Conferencing System,12942,598,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,598-C15702,,10.128.4.78,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00256,TANDBERG EX90,9546037,V04.CLA.SCR.Rm427,A1AR45D00256,Desktop Video Conferencing System,Desktop Video Conferencing System,21815,540,LOUIS A JOHNSON VAMC,540-A20101,,10.33.99.10,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00261,TANDBERG EX90,9508201,V23.SUX.Nutrition.Carla.Rm.171.5,A1AR45D00261,Desktop Video Conferencing System,Desktop Video Conferencing System,9974,438,DEPARTMENT OF VETERAN AFFAIRS - SIOUX FALLS,618-A19537,,10.107.54.60,23
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00278,TANDBERG EX90,9503545,V09.MOU.CBOC.SEV.124C.Individual,A1AR45D00278,Desktop Video Conferencing System,Desktop Video Conferencing System,8384,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Gorman M, Leotha",10.72.199.74,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00281,TANDBERG EX90,9502336,V06.RIC.CBOC.CHVL.PCC.SARGENT,A1AR45D00281,Desktop Video Conferencing System,Desktop Video Conferencing System,10519,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.77.18,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00291,,,,A1AR45D00291,Desktop Video Conferencing System,Desktop Video Conferencing System,,512,DEPARTMENT OF VETERANS AFFAIRS - BALTIMORE,512-A20166,,,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00305,,,,A1AR45D00305,Desktop Video Conferencing System,Desktop Video Conferencing System,,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,,,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00317,TANDBERG EX90,9503543,V09.MOU.RAD.200.A072A.RADONC,A1AR45D00317,Desktop Video Conferencing System,Desktop Video Conferencing System,8390,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Sadler G, Charles",10.72.204.38,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00323,TANDBERG EX90,9528105,V23.SUX.CBOC.Director,A1AR45D00323,Desktop Video Conferencing System,Desktop Video Conferencing System,16660,438,DEPARTMENT OF VETERAN AFFAIRS - SIOUX FALLS,618-A19537,,10.107.131.34,23
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00324,TANDBERG EX90,9503539,V09.MOU.RNC.200.B031G.Renal,A1AR45D00324,Desktop Video Conferencing System,Desktop Video Conferencing System,8422,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Hawthorne B, John",10.72.247.12,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00326,TANDBERG EX90,9530024,V06.SBY.DPT.HCC.CLT.MHS.KENNERLY,A1AR45D00326,Desktop Video Conferencing System,Desktop Video Conferencing System,7848,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.54.183.101,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00352,TANDBERG EX90,9503541,V09.MOU.CBOC.NOR.103.Mental Health,A1AR45D00352,Desktop Video Conferencing System,Desktop Video Conferencing System,8392,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,,10.72.194.17,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00379,TANDBERG EX90,9528002,V23.SUX.Watertown.Pharm.Rm.117,A1AR45D00379,Desktop Video Conferencing System,Desktop Video Conferencing System,14890,438,DEPARTMENT OF VETERAN AFFAIRS - SIOUX FALLS,618-A19537,,10.107.128.12,23
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00386,TANDBERG EX90,9505423,V16.SHR.RM8E31.BHANDERI,A1AR45D00386,Desktop Video Conferencing System,Desktop Video Conferencing System,11858,667,OVERTON BROOKS VA MEDICAL CENTER,598-C15720,,10.129.160.14,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00400,TANDBERG EX90,9525432,V16.NOL.TMH.OPC.Franklin.SPRM.Threatts,A1AR45D00400,Desktop Video Conferencing System,Desktop Video Conferencing System,14473,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,10.131.88.20,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00403,TANDBERG EX90,9502273,V06.RIC.PTN.GOLDBERG.RM2A140,A1AR45D00403,Desktop Video Conferencing System,Desktop Video Conferencing System,8869,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.85,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00417,TANDBERG EX90,9503404,V09.MOU.TMH.200.D236.MentalHealth,A1AR45D00417,Desktop Video Conferencing System,Desktop Video Conferencing System,3620,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,"Vermette S, Heidi",10.72.247.68,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00419,,,,A1AR45D00419,Desktop Video Conferencing System,Desktop Video Conferencing System,,512,DEPARTMENT OF VETERANS AFFAIRS - BALTIMORE,512-A20166,,,5
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00422,TANDBERG EX90,9502338,V06.RIC.CBOC.CHVL.MHS.LEE,A1AR45D00422,Desktop Video Conferencing System,Desktop Video Conferencing System,10521,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.77.15,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00427,TANDBERG EX90,9525440,V16.NOL.TMH.2400Canal.1J286,A1AR45D00427,Desktop Video Conferencing System,Desktop Video Conferencing System,22252,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,10.131.134.41,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00432,TANDBERG EX90,9502230,V06.RIC.GEC.CRM.1P108,A1AR45D00432,Desktop Video Conferencing System,Desktop Video Conferencing System,8118,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.28,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00433,TANDBERG EX90,9525223,V16.MUS.TMH.116,A1AR45D00433,Desktop Video Conferencing System,Desktop Video Conferencing System,27876,598,JACK C. MONTGOMERY VA MEDICAL CENTER,598-C15702,,10.134.253.202,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00437,TANDBERG EX90,9502377,V06.RIC.DPT.DM.5C155,A1AR45D00437,Desktop Video Conferencing System,Desktop Video Conferencing System,22980,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.212,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00452,TANDBERG EX90,9503438,V09.MOU.CBOC.KNXA.135.CompAndPen,A1AR45D00452,Desktop Video Conferencing System,Desktop Video Conferencing System,31607,621,JAMES H. QUILLEN VA MEDICAL CENTER,621-A19115,,10.72.158.9,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00455,TANDBERG EX90,9528033,V23.SUX.Aberdeen.CBOC.Derm,A1AR45D00455,Desktop Video Conferencing System,Desktop Video Conferencing System,15928,438,DEPARTMENT OF VETERAN AFFAIRS - SIOUX FALLS,618-A19537,,10.107.135.11,23
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00478,TANDBERG EX90,9525807,V16.SHR.TMD.MON.r113,A1AR45D00478,Desktop Video Conferencing System,Desktop Video Conferencing System,13419,667,OVERTON BROOKS VA MEDICAL CENTER,598-C15720,,10.129.151.245,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00482,,,,A1AR45D00482,Desktop Video Conferencing System,Desktop Video Conferencing System,,598,SOUTHEAST LOUISIANA VETERANS HEALTH CARE SYSTEM,598-C15702,,,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00491,TANDBERG EX90,9525126,V16.LIT.TMH.170.2H112B,A1AR45D00491,Desktop Video Conferencing System,Desktop Video Conferencing System,13790,598,CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM,598-C15702,,10.128.4.85,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00508,,,,A1AR45D00508,Desktop Video Conferencing System,Desktop Video Conferencing System,,646,PITTSBURGH HCS,529-C15222,,,4
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00509,TANDBERG EX90,9503436,V09.MOU.AUD.77.GB110.SpeechPathology,A1AR45D00509,Desktop Video Conferencing System,Desktop Video Conferencing System,7405,621,,,"Johnson, Kelli",10.72.233.90,
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00516,TANDBERG EX90,9502335,V06.RIC.CBOC.CHVL.PCC.HOLMES,A1AR45D00516,Desktop Video Conferencing System,Desktop Video Conferencing System,10518,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.77.26,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00517,TANDBERG EX90,9502119,V06.BEC.TMD.TH3,A1AR45D00517,Desktop Video Conferencing System,Desktop Video Conferencing System,9062,517,Beckley VA Medical Center,483-A10085,,10.50.74.57,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00535,TANDBERG EX90,9502332,V06.RIC.DPT.CHAP.STONE,A1AR45D00535,Desktop Video Conferencing System,Desktop Video Conferencing System,10339,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.142,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00540,TANDBERG EX90,9502281,V06.RIC.MHS.MARANO.RM1E150,A1AR45D00540,Desktop Video Conferencing System,Desktop Video Conferencing System,9141,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.20.93,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00545,TANDBERG EX90,9530028,V06.SBY.DPT.HCC.KRN.MHS.RM1115.Readling,A1AR45D00545,Desktop Video Conferencing System,Desktop Video Conferencing System,7972,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.54.106.81,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00548,TANDBERG EX90,9502288,V06.RIC.CBOC.FRE2.SPEC1,A1AR45D00548,Desktop Video Conferencing System,Desktop Video Conferencing System,28518,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.76.225,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00563,TANDBERG EX90,9530029,V06.SBY.PCC.DALSANI,A1AR45D00563,Desktop Video Conferencing System,Desktop Video Conferencing System,9935,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.51.105.130,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00570,TANDBERG EX90,9530025,V06.ASH.CBOC.HCK.SWS.MEREDITH,A1AR45D00570,Desktop Video Conferencing System,Desktop Video Conferencing System,7849,659,SALISBURY VA MEDICAL CENTER,483-A10084,,10.55.230.108,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00580,,,,A1AR45D00580,Desktop Video Conferencing System,Desktop Video Conferencing System,,652,RICHMOND VA MEDICAL CENTER,487-A10087,,,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00592,TANDBERG EX90,9524203,V16.BIL.CAR.3.2D127,A1AR45D00592,Desktop Video Conferencing System,Desktop Video Conferencing System,10955,520,Biloxi VA Medical Center,586-A10964,,10.132.10.102,16
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45D00605,TANDBERG EX90,9502118,V06.BEC.CBOC.GRBR.TMD.RMMH3,A1AR45D00605,Desktop Video Conferencing System,Desktop Video Conferencing System,9181,517,Beckley VA Medical Center,483-A10085,,10.50.74.56,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45E00044,TANDBERG EX90,9508048,V23.SUX.Pulmonary.Rm.B55,A1AR45E00044,Desktop Video Conferencing System,Desktop Video Conferencing System,8605,438,SIOUX FALLS VA HEALTH CARE SYSTEM,438-P13181,,10.107.54.52,23
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45E00099,,,,A1AR45E00099,Desktop Video Conferencing System,Desktop Video Conferencing System,,528,SYRACUSE,528-A10717,,,2
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45E00219,,,,A1AR45E00219,Desktop Video Conferencing System,Desktop Video Conferencing System,,,,,,,
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45E00280,TANDBERG EX90,9503341,V09.LOU.TMH.258.TMHNBGCBOC,A1AR45E00280,Desktop Video Conferencing System,Desktop Video Conferencing System,7976,603,LOUISVILLE (3430 NEWBURG RD),603-A19102,,10.75.53.242,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45E00326,,,,A1AR45E00326,Desktop Video Conferencing System,Desktop Video Conferencing System,,652,RICHMOND VA MEDICAL CENTER,487-A10087,,,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45E00328,TANDBERG EX90,9541794,V01.WRJ.TMD.B39.R342,A1AR45E00328,Desktop Video Conferencing System,Desktop Video Conferencing System,22279,402,TOGUS VA MEDICAL CENTER,518-V10027,,10.14.95.92,1
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45F00186,TANDBERG EX90,9536535,V09.MUR.TMH.BLDG9rm145,A1AR45F00186,Desktop Video Conferencing System,Desktop Video Conferencing System,27440,626,MURFREESBORO VA MED CENTER,626-A19186,"Dickens N, Holly",10.77.93.7,9
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45F00546,TANDBERG EX90,9505502,V16.MUS.TMD.b24.r221,A1AR45F00546,Desktop Video Conferencing System,Desktop Video Conferencing System,17232,623,MUSKOGEE,623-A38050,,10.134.149.53,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00007,,,,A1AR45G00007,Desktop Video Conferencing System,Desktop Video Conferencing System,,674,TEMPLE VA MEDICAL CENTER,671-A10828,,,17
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00040,TANDBERG EX90,9507828,V22.LON.TMD.SNA,A1AR45G00040,Desktop Video Conferencing System,Desktop Video Conferencing System,22002,600,,,,10.179.189.142,
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00153,TANDBERG EX90,9512739,V19.GRJ.EDU.CRG.Rm2,A1AR45G00153,Desktop Video Conferencing System,Desktop Video Conferencing System,31799,575,GRAND JUNCTION VAMC,575-A37005,,10.155.200.199,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00164,TANDBERG EX90,9512772,V19.GRJ.TMH.B1.RM2671,A1AR45G00164,Desktop Video Conferencing System,Desktop Video Conferencing System,29313,575,GRAND JUNCTION VAMC,575-A37005,,10.155.130.120,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00168,TANDBERG EX90,9516355,V21.HON.TMH.KAU.Sheppard,A1AR45G00168,Desktop Video Conferencing System,Desktop Video Conferencing System,9712,459,V21.HON.TMH.KAU.Sheppard,,"Sakauye N, Neil",10.170.88.70,21
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00172,TANDBERG EX90,9506612,V19.GRJ.NTH.Rm.4417,A1AR45G00172,Desktop Video Conferencing System,Desktop Video Conferencing System,29056,575,GRAND JUNCTION VAMC,575-A37005,,10.155.130.135,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00180,TANDBERG EX90,9506647,V19.GRJ.CRM.MHS35,A1AR45G00180,Desktop Video Conferencing System,Desktop Video Conferencing System,29235,575,GRAND JUNCTION VAMC,575-A37005,,10.155.130.35,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00182,TANDBERG EX90,9512737,V19.GRJ.AUD.MON.Dr.J.Johnson,A1AR45G00182,Desktop Video Conferencing System,Desktop Video Conferencing System,28542,575,GRAND JUNCTION VAMC,575-A37005,,10.155.200.71,19
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00224,TANDBERG EX90,9502241,V06.RIC.CBOC.FRE1.GTH.R156,A1AR45G00224,Desktop Video Conferencing System,Desktop Video Conferencing System,8347,652,RICHMOND VA MEDICAL CENTER,487-A10087,,10.49.78.21,6
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00236,TANDBERG EX90,9518645,V22.LOM.TMD.BHH.ACC.006,A1AR45G00236,Desktop Video Conferencing System,Desktop Video Conferencing System,32490,605,Loma Linda Health Care System,605-A10146,,10.177.185.250,22
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR45G00284,TANDBERG EX90,9528233,V23.SUX.TMH.Spirit.Lake.Rm130,A1AR45G00284,Desktop Video Conferencing System,Desktop Video Conferencing System,21613,438,V23.SUX.Neuro.Feng.B04.5,,,10.107.129.197,23
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR46C00264,,,,A1AR46C00264,Desktop Video Conferencing System,Desktop Video Conferencing System,,589,V15.WIC.PoliceChiefHoward,,,,15
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR46C00279,TANDBERG EX90,9523038,V15.WIC.BHH.SW.CyndiPrice,A1AR46C00279,Desktop Video Conferencing System,Desktop Video Conferencing System,13109,589,,,"Andrews T, Jennifer",10.124.170.69,
EX-Series Codec,Cisco,EX90,CTS-EX90-K9,A1AR46C00320,TANDBERG EX90,9523029,V15.WIC.TMD.Cardiology,A1AR46C00320,Desktop Video Conferencing System,Desktop Video Conferencing System,12545,589,,,"Andrews T, Jennifer",10.124.170.66,
